ID,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
102,,Eswatini,-26.5225,31.4659,2020/01/22,0,0,0,0,Africa
103,,Ethiopia,9.145,40.4897,2020/01/22,0,0,0,0,Africa
104,,Fiji,-17.7134,178.065,2020/01/22,0,0,0,0,Western Pacific
105,,Finland,61.92411,25.748151,2020/01/22,0,0,0,0,Europe
106,French Guiana,France,3.9339,-53.1258,2020/01/22,0,0,0,0,Europe
107,French Polynesia,France,-17.6797,149.4068,2020/01/22,0,0,0,0,Europe
108,Guadeloupe,France,16.265,-61.551,2020/01/22,0,0,0,0,Europe
109,Mayotte,France,-12.8275,45.166244,2020/01/22,0,0,0,0,Europe
110,New Caledonia,France,-20.904305,165.618042,2020/01/22,0,0,0,0,Europe
111,Reunion,France,-21.1151,55.5364,2020/01/22,0,0,0,0,Europe 
112,Saint Barthelemy,France,17.9,-62.8333,2020/01/22,0,0,0,0,Europe
113,St Martin,France,18.0708,-63.0501,2020/01/22,0,0,0,0,Europe
114,Martinique,France,14.6415,-61.0242,2020/01/22,0,0,0,0,Europe
115,,France,46.2276,2.2137,2020/01/22,0,0,0,0,Europe
116,,Gabon,-0.8037,11.6094,2020/01/22,0,0,0,0,Africa
117,,Gambia,13.4432,-15.3101,2020/01/22,0,0,0,0,Africa
118,,Georgia,42.3154,43.3569,2020/01/22,0,0,0,0,Europe
119,,Germany,51.165691,10.451526,2020/01/22,0,0,0,0,Europe
120,,Ghana,7.9465,-1.0232,2020/01/22,0,0,0,0,Africa
121,,Greece,39.0742,21.8243,2020/01/22,0,0,0,0,Europe
122,,Guatemala,15.7835,-90.2308,2020/01/22,0,0,0,0,Americas
123,,Guinea,9.9456,-9.6966,2020/01/22,Zero,0,0,0,Africa
124,,Guyana,4.860416000000002,-58.93018000000001,2020/01/22,0,0,0,0,Americas
125,,Haiti,18.9712,-72.2852,2020/01/22,0,0,0,0,Americas
126,,Holy See,41.9029,12.4534,2020/01/22,0,0,0,0,Europe
127,,Honduras,15.2,-86.2419,2020/01/22,0,0,0,0,Americas
128,,Hungary,47.1625,19.5033,2020/01/22,0,0,0,0,Europe
129,,Iceland,64.9631,-19.0208,2020/01/22,0,0,0,0,Europe
130,,India,20.593684,78.96288,2020/01/22,0,0,0,0,South-East Asia
131,,Indonesia,-0.7893,113.9213,2020/01/22,0,0,0,0,South-East Asia
132,,Iran,32.427908,53.68804599999999,2020/01/22,0,0,0,0,Eastern Mediterranean
133,,Iraq,33.223191,43.679291,2020/01/22,0,0,0,0,Eastern Mediterranean
134,,Ireland,53.1424,-7.6921,2020/01/22,0,0,0,0,Europe
135,,Israel,31.046051,34.851612,2020/01/22,0,0,0,0,E urope
136,,Italy,41.87194,12.56738,2020/01/22,0,0,0,0,Europe
137,,Jamaica,18.1096,-77.2975,2020/01/22,0,0,0,0,Americas
138,,Japan,36.204824,138.252924,2020/01/22,2,0,0,2,Western Pacific
139,,Jordan,31.24,36.51,2020/01/22,0,0,0,0,Eastern Mediterranean
140,,Kazakhstan,48.0196,66.9237,2020/01/22,0,0,0,0,Europe
141,,Kenya,-0.0236,37.9062,2020/01/22,0,0,0,0,Africa
142,,South Korea,35.90775700000001,127.766922,2020/01/22,1,0,0,1,Western Pacific
143,,Kuwait,29.31166,47.481766,2020/01/22,0,0,0,0,Eastern Mediterranean
144,,Kyrgyzstan,41.20438,74.766098,2020/01/22,0,0,0,0,Europe
145,,Latvia,56.8796,24.6032,2020/01/22,0,0,0,0,Europe
146,,Lebanon,33$.8547,35.8623,2020/01/22,0,0,0,0,Eastern Mediterranean
147,,Liberia,6.4280550000000005,-9.429499,2020/01/22,0,0,0,0,Africa
148,,Liechtenstein,47.14,9.55,2020/01/22,0,0,0,0,Europe
149,,Lithuania,55.1694,23.8813,2020/01/22,0,0,0,0,Europe
150,,,,,,,,,,
151,,Madagascar,-18.766947,46.869107,2020/01/22,0,0,0,0,Africa
152,,Malaysia,4.210483999999999,101.975766,2020/01/22,0,0,0,0,Western Pacific
153,,Maldives,3.2028,73.2207,2020/01/22,0,0,0,0,South-East Asia
154,,Malta,35.9375,14.3754,2020/01/22,0,0,0,0,Europe
155,,Maurit ania,21.0079,-10.9408,2020/01/22,0,0,0,0,Africa
156,,Mauritius,-20.348404,57.552152,2020/01/22,0,0,0,0,Africa
157,,Mexico,23.6345,-102.5528,2020/01/22,0,0,0,0,Americas
158,,Moldova,47.4116,28.3699,2020/01/22,0,0,0,0,Europe
159,,Monaco,43.7333,7.4167,2020/01/22,0,0,0,0,Europe
160,,Mongolia,46.8625,103.8467,2020/01/22,0,0,0,0,Western Pacific
161,,Montenegro,42.708678000000006,19.37439,2020/01/22,0,0,0,0,Europe
